id	cat_url	cod	cod_n	stat	stat_n
c1525	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364799	^^^	^^^	^^^	^^^
c1526	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364800	^^^	^^^	^^^	^^^
c1527	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364801	^^^	^^^	^^^	^^^
c1528	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364802	^^^	^^^	^^^	^^^
c1529	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364803	^^^	^^^	^^^	^^^
c1530	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364804	^^^	^^^	^^^	^^^
c1531	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364805	^^^	^^^	^^^	^^^
c1532	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364806	^^^	^^^	^^^	^^^
c1533	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364807	^^^	^^^	^^^	^^^
c1534	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364808	^^^	^^^	^^^	^^^
c1535	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364809	^^^	^^^	^^^	^^^
c1536	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364810	^^^	^^^	^^^	^^^
c1537	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364811	^^^	^^^	^^^	^^^
c1538	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364812	^^^	^^^	^^^	^^^
c1539	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364813	^^^	^^^	^^^	^^^
c1540	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364814	^^^	^^^	^^^	^^^
c1541	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364815	^^^	^^^	^^^	^^^
c1542	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364816	^^^	^^^	^^^	^^^
c1543	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364817	^^^	^^^	^^^	^^^
c1544	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364818	^^^	^^^	^^^	^^^
c1545	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364924	^^^	^^^	^^^	^^^
c1546	http://pares.mcu.es/ParesBusquedas20/catalogo/description/351235	0	is conf de encomienda	-^-	^^^
c1547	http://pares.mcu.es/ParesBusquedas20/catalogo/description/351236	0	is conf de encomienda	-^-	^^^
c1548	http://pares.mcu.es/ParesBusquedas20/catalogo/description/351237	^^^	^^^	^^^	^^^
c1549	http://pares.mcu.es/ParesBusquedas20/catalogo/description/351238	0	is conf de encomienda	-^-	^^^
c1550	http://pares.mcu.es/ParesBusquedas20/catalogo/description/351627	0	is info de oficio y parte	-^-	^^^
c1551	http://pares.mcu.es/ParesBusquedas20/catalogo/description/345101	0	is registro de oficio o partes	-^-	^^^
c1552	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348841	^^^	^^^	^^^	^^^
c1553	http://pares.mcu.es/ParesBusquedas20/catalogo/description/349934	^^^	^^^	^^^	^^^
c1554	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350792	0	is conf de oficio	-^-	^^^
c1555	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350801	0	is conf de oficio	-^-	^^^
c1556	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350802	0	is conf de oficio	-^-	^^^
c1557	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350793	0	is conf de oficio	-^-	^^^
c1558	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350794	0	is conf de oficio	-^-	^^^
c1559	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350795	0	is conf de oficio	-^-	^^^
c1560	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350796	0	is conf de oficio	-^-	^^^
c1561	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350797	0	is conf de oficio	-^-	^^^
c1562	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350798	0	is conf de oficio	-^-	^^^
c1563	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350799	0	is conf de oficio	-^-	^^^
c1564	http://pares.mcu.es/ParesBusquedas20/catalogo/description/350800	0	is conf de oficio	-^-	^^^
c1565	http://pares.mcu.es/ParesBusquedas20/catalogo/description/19143	0	not geogr relevant	-^-	^^^
c1566	http://pares.mcu.es/ParesBusquedas20/catalogo/description/21525	0	not geogr relevant	-^-	^^^
c1567	http://pares.mcu.es/ParesBusquedas20/catalogo/description/21694	^^^	^^^	^^^	^^^
c1568	http://pares.mcu.es/ParesBusquedas20/catalogo/description/19142	0	not geogr relevant	-^-	^^^
c1569	http://pares.mcu.es/ParesBusquedas20/catalogo/description/349726	0	not digitised	-^-	^^^
c1570	http://pares.mcu.es/ParesBusquedas20/catalogo/description/349727	0	not digitised	-^-	^^^
c1571	http://pares.mcu.es/ParesBusquedas20/catalogo/description/20891	0	not digitised	-^-	^^^
c1572	http://pares.mcu.es/ParesBusquedas20/catalogo/description/20892	0	not digitised	-^-	^^^
c1573	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367213	0	is conf de oficio	-^-	^^^
c1574	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367222	0	is conf de oficio	-^-	^^^
c1575	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367223	0	is conf de oficio	-^-	^^^
c1576	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367224	0	is conf de oficio	-^-	^^^
c1577	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367225	0	is conf de oficio	-^-	^^^
c1578	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367226	0	is conf de oficio	-^-	^^^
c1579	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367227	0	is conf de oficio	-^-	^^^
c1580	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367228	0	is conf de oficio	-^-	^^^
c1581	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367229	0	is conf de oficio	-^-	^^^
c1582	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367230	0	is conf de oficio	-^-	^^^
c1583	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367231	0	is conf de oficio	-^-	^^^
c1584	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367214	0	is conf de oficio	-^-	^^^
c1585	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367215	0	is conf de oficio	-^-	^^^
c1586	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367216	0	is conf de oficio	-^-	^^^
c1587	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367217	0	is conf de oficio	-^-	^^^
c1588	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367218	0	is conf de oficio	-^-	^^^
c1589	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367219	0	is conf de oficio	-^-	^^^
c1590	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367220	0	is conf de oficio	-^-	^^^
c1591	http://pares.mcu.es/ParesBusquedas20/catalogo/description/367221	0	is conf de oficio	-^-	^^^
c1592	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369781	^^^	^^^	^^^	^^^
c1593	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362613	^^^	^^^	^^^	^^^
c1594	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362622	^^^	^^^	^^^	^^^
c1595	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362623	^^^	^^^	^^^	^^^
c1596	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362624	^^^	^^^	^^^	^^^
c1597	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362625	^^^	^^^	^^^	^^^
c1598	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362614	^^^	^^^	^^^	^^^
c1599	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362615	^^^	^^^	^^^	^^^
c1600	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362616	^^^	^^^	^^^	^^^
c1601	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362617	^^^	^^^	^^^	^^^
c1602	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362618	^^^	^^^	^^^	^^^
c1603	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362619	^^^	^^^	^^^	^^^
c1604	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362620	^^^	^^^	^^^	^^^
c1605	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362621	^^^	^^^	^^^	^^^
c1606	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362626	^^^	^^^	^^^	^^^
c1607	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362627	^^^	^^^	^^^	^^^
c1608	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362628	^^^	^^^	^^^	^^^
c1609	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362629	^^^	^^^	^^^	^^^
c1610	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362630	^^^	^^^	^^^	^^^
c1611	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362631	^^^	^^^	^^^	^^^
c1612	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362632	^^^	^^^	^^^	^^^
c1613	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362633	^^^	^^^	^^^	^^^
c1614	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362634	^^^	^^^	^^^	^^^
c1615	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362635	^^^	^^^	^^^	^^^
c1616	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362636	^^^	^^^	^^^	^^^
c1617	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362637	^^^	^^^	^^^	^^^
